flood_probability,slope_norm,soil_stability,vegetation_density,wind_exposure,sun_score,buildability_score
0.8896,0.9936,0.6287,0.6122,0.4349,1.0,53.89
0.7191,0.5471,0.5772,0.7558,0.0445,0.5549,64.38
0.4073,0.627,0.7543,0.4745,0.8782,1.0,77.62
0.2309,0.3152,0.6136,0.4493,0.3003,0.8477,86.26
0.0387,0.2295,0.8331,0.2541,0.2654,0.7365,100
0.4492,0.397,0.501,0.9586,0.8024,0.5008,75.59
0.8144,0.5465,0.4917,0.5018,0.9526,0.9784,56.56
0.6002,0.0512,0.8922,0.2134,0.6613,0.5136,74.8
0.1159,0.2348,0.8925,0.5608,0.3286,0.7496,97.75
0.0797,0.6468,0.8626,0.0207,0.1299,0.937,93.8
0.2582,0.6575,0.6703,0.4156,0.906,0.4371,73.54
0.9317,0.3095,0.5796,0.5487,0.0686,1.0,68.36
0.8732,0.853,0.2023,0.2396,0.7787,0.9782,54.5
0.1134,0.4513,0.285,0.766,0.7795,0.6765,80.2
0.1221,0.668,0.3948,0.0833,0.789,0.5738,73.53
0.9449,0.7253,0.8376,0.6203,0.9694,0.9526,55.02
0.9921,0.1623,0.4395,0.5221,0.6895,0.428,61.98
0.3514,0.3402,0.4725,0.7568,0.1036,0.7197,84.05
0.8118,0.2124,0.3331,0.6375,0.7735,0.9354,73.78
0.2268,0.657,0.839,0.4944,0.7708,0.605,82.32
0.6425,0.1991,0.2294,0.4529,0.0037,0.5758,79.64
0.6487,0.4155,0.7863,0.9696,0.862,0.3281,66.88
0.843,0.5946,0.593,0.1165,0.1358,0.7031,64.48
0.3407,0.6249,0.2227,0.8352,0.3171,0.5361,73.61
0.8222,0.2935,0.8011,0.0549,0.3002,1.0,70.75
0.3796,0.153,0.438,0.412,0.0744,0.7367,87.15
0.0751,0.3084,0.4099,0.0227,0.9813,0.5504,80.53
0.9314,0.6029,0.7961,0.3625,0.0952,0.4922,52.41
0.3338,0.8884,0.3278,0.2123,0.8004,0.4622,61.23
0.5502,0.5413,0.8015,0.8116,0.5489,0.7792,79.51
0.6905,0.2972,0.5867,0.2975,0.8953,0.9396,74.1
0.4202,0.6579,0.3883,0.0521,0.0687,1.0,75.43
0.5883,0.1068,0.5339,0.4692,0.3611,0.7468,77.68
0.5612,0.7941,0.2574,0.1684,0.6485,0.7716,62.87
0.8667,0.6308,0.2118,0.2184,0.7082,0.4053,53.61
0.5097,0.9896,0.2037,0.523,0.2733,0.9784,61.07
0.7763,0.1875,0.5833,0.0594,0.211,0.8613,71.71
0.3443,0.4045,0.6135,0.9107,0.2877,0.4783,85.51
0.8561,0.1246,0.4942,0.6483,0.4977,1.0,68.12
