elevation_m,slope_deg,ndvi,rainfall_mm,soil_stability,distance_to_water_m,flood_probability
319.71,1.0,0.175,747.3,0.35,3386.7,0.3269
210.96,1.19,0.1186,1565.5,0.55,2810.6,0.3632
358.01,28.05,0.3195,1402.7,0.45,4049.1,0.2653
349.07,13.61,0.0555,2875.9,0.2,520.0,0.3416
189.96,14.36,0.244,867.1,0.55,3651.4,0.1565
189.27,22.08,0.7294,1893.7,0.2,2891.0,0.1317
352.29,1.83,0.1279,939.2,0.35,4278.0,0.3504
226.71,33.36,0.0627,1130.3,0.45,3512.1,0.1817
341.77,2.86,0.535,1649.0,0.5,825.4,0.2137
320.0,22.28,0.5846,2544.3,0.55,1152.9,0.3207
16.05,12.62,0.1677,711.9,0.2,1071.0,0.4929
321.43,5.71,0.0396,2260.5,0.45,3737.6,0.3813
214.22,23.34,0.262,2992.2,0.7,2552.5,0.3241
54.82,25.1,0.6921,1324.3,0.35,1930.0,0.3261
297.94,18.72,0.1514,1704.4,0.55,3404.6,0.3494
375.44,30.74,0.2402,951.2,0.7,2274.1,0.2568
476.91,35.03,0.1634,1551.7,0.7,2543.3,0.2815
420.83,20.31,0.0989,1184.4,0.7,2701.5,0.3157
389.31,21.21,-0.0994,1040.1,0.55,568.2,0.1948
403.39,9.58,0.1409,1745.3,0.35,437.4,0.4165
243.0,2.77,0.6606,2320.9,0.7,3302.2,0.3526
263.84,24.26,0.8644,2793.8,0.5,3567.6,0.1829
199.5,26.87,0.2734,2708.9,0.8,613.8,0.2988
294.15,9.2,0.1202,305.9,0.55,1152.4,0.3268
452.71,34.39,-0.0291,790.2,0.8,1079.0,0.3047
285.52,18.91,0.6846,2441.7,0.5,480.7,0.3035
329.49,14.17,0.3111,2605.1,0.55,3370.1,0.3398
201.31,13.57,0.7617,821.1,0.5,2686.1,0.1789
70.09,7.34,0.3626,2636.0,0.35,2221.2,0.4815
25.29,39.97,0.736,2910.1,0.5,839.9,0.4461
242.82,8.55,0.301,270.0,0.6,20.8,0.2974
392.56,11.41,0.5966,2218.5,0.8,782.4,0.3603
148.35,38.75,0.4792,1672.4,0.2,295.3,0.1451
426.36,6.3,0.8608,332.3,0.7,351.9,0.2152
33.98,34.47,0.3038,2830.6,0.5,2898.8,0.5278
328.69,22.61,0.2164,856.2,0.2,1201.0,0.1928
197.89,26.87,0.2,1016.9,0.35,56.5,0.2428
49.99,21.51,0.4059,484.1,0.2,4405.5,0.3161
439.64,14.78,0.0577,2517.9,0.45,3062.3,0.4012
3.91,32.68,0.1994,2023.8,0.7,1329.7,0.6307
444.86,29.7,0.0554,917.1,0.5,3590.9,0.2262
131.99,19.54,0.8053,2553.7,0.35,3175.1,0.253
414.67,1.76,0.2336,479.4,0.45,816.3,0.2427
280.45,4.47,0.8451,2104.0,0.7,2732.5,0.3074
417.3,23.3,0.0481,469.6,0.45,1829.6,0.319
19.95,14.31,0.5821,2034.1,0.2,3902.8,0.499
442.07,16.26,0.5207,548.2,0.5,4324.4,0.2647
440.71,0.99,0.6366,1063.3,0.6,4013.2,0.2712
432.03,32.43,0.1668,2383.4,0.35,1918.9,0.2791
99.79,36.74,0.2497,2479.6,0.5,1122.4,0.2535
330.02,15.94,0.1786,301.3,0.45,1762.2,0.1783
421.83,13.25,-0.0724,2643.4,0.45,901.1,0.3609
481.27,10.62,0.0084,1360.2,0.2,2187.6,0.3198
449.75,7.6,-0.0556,1364.6,0.5,1827.5,0.3446
34.99,26.57,0.2302,1010.4,0.35,3601.6,0.4374
204.2,16.1,0.1957,469.1,0.6,3328.0,0.2829
189.57,29.93,0.074,1750.4,0.6,2744.2,0.2822
214.94,23.2,0.5547,1448.5,0.8,3381.4,0.2188
255.59,31.75,0.8598,2234.3,0.35,1426.1,0.0968
46.69,38.08,0.1349,1000.2,0.5,745.3,0.3654
23.11,39.36,0.5113,2328.6,0.8,2078.1,0.516
348.18,19.78,0.144,2002.6,0.55,4464.4,0.2755
430.22,35.42,0.6784,734.6,0.8,260.6,0.1859
228.23,32.06,0.5676,2964.9,0.2,4750.7,0.2611
445.71,24.51,0.6193,1563.9,0.8,4487.1,0.2053
129.6,9.89,0.5377,2320.9,0.8,3137.5,0.2774
137.3,3.1,0.1857,888.0,0.2,4466.2,0.3122
191.52,6.11,0.114,1303.1,0.2,2717.6,0.3156
207.89,8.27,0.3201,2724.0,0.55,4285.1,0.3584
2.95,14.07,0.6535,2575.0,0.6,2695.7,0.6239
367.32,31.99,0.7978,1515.9,0.45,2184.8,0.1516
339.57,16.17,0.065,1455.4,0.7,4903.8,0.3242
267.06,36.28,0.4919,2022.7,0.35,3217.3,0.2014
25.14,15.16,0.1117,1047.9,0.6,1398.5,0.6223
475.6,16.86,0.7349,1463.9,0.55,4999.5,0.1649
390.62,26.07,0.6542,2853.9,0.5,4197.8,0.2626
310.67,9.54,0.3736,431.7,0.5,2330.5,0.2448
302.95,38.55,0.6184,2355.6,0.7,4824.0,0.2398
54.05,1.03,0.212,2064.3,0.6,1989.3,0.566
345.31,25.09,0.0019,2340.2,0.35,3983.2,0.2674
282.97,1.64,0.4327,2018.4,0.35,2534.7,0.2804
411.17,4.22,0.8608,1943.2,0.8,3539.5,0.3529
217.74,29.35,0.8655,883.2,0.8,2329.7,0.1433
161.15,9.82,0.8346,908.9,0.8,1226.9,0.1744
232.35,24.41,0.279,183.2,0.2,917.4,0.1729
170.17,35.21,0.6012,901.2,0.55,2588.0,0.2004
95.53,9.65,0.3064,1710.0,0.5,3456.1,0.2938
396.47,3.72,0.1216,2106.2,0.45,3323.2,0.3355
184.51,22.14,0.2438,2990.2,0.2,1765.5,0.2396
115.27,28.85,0.2155,2254.4,0.7,965.8,0.2734
369.3,11.06,0.4896,2304.6,0.45,4902.7,0.3051
180.44,12.09,0.608,467.1,0.55,4871.7,0.1742
276.68,27.9,0.0263,2618.5,0.8,521.9,0.3539
239.36,13.63,0.8655,832.2,0.8,579.3,0.1978
32.67,19.67,0.477,2090.7,0.7,754.5,0.5016
496.96,4.74,0.6644,1858.3,0.5,3880.7,0.2679
190.19,36.34,0.1974,1806.7,0.6,1533.8,0.1929
370.04,37.9,0.1078,712.0,0.35,793.7,0.1395
86.91,3.0,-0.0973,1406.5,0.8,1463.4,0.4609
351.49,18.16,0.5874,2779.3,0.5,2131.4,0.3245
272.28,25.91,0.8084,2497.2,0.35,307.6,0.2168
412.12,36.85,0.3392,1459.2,0.45,3501.7,0.1306
471.34,20.02,0.3938,333.3,0.55,4448.2,0.1906
12.93,9.16,0.5743,2595.5,0.55,4997.9,0.601
336.14,10.78,-0.0598,2293.2,0.8,2599.6,0.3676
498.47,17.44,0.7142,2910.3,0.8,1746.3,0.2936
166.65,26.81,0.7577,1056.4,0.8,1448.2,0.2236
275.05,18.19,0.2145,1037.5,0.6,4325.9,0.2336
412.46,0.05,0.7694,1439.7,0.55,946.0,0.2335
312.7,30.4,0.1036,1692.7,0.45,2196.2,0.2785
349.13,4.86,0.8731,1865.7,0.5,3551.8,0.2469
204.0,8.99,0.7414,429.0,0.35,3242.1,0.185
76.99,37.31,0.1919,2145.7,0.6,4175.3,0.3688
275.63,15.34,0.8219,1573.9,0.7,4321.5,0.2093
138.12,31.6,0.3149,2809.3,0.45,4104.5,0.2332
293.47,39.96,0.3896,530.9,0.8,1732.2,0.2058
275.96,21.74,0.3553,1033.2,0.5,4904.1,0.2121
428.01,16.43,0.2182,1471.6,0.6,1936.5,0.3232
331.84,32.83,0.8808,1536.5,0.55,640.0,0.1494
50.18,33.8,-0.0003,2740.3,0.55,3615.0,0.4861
204.99,26.19,0.0544,1461.5,0.45,1699.4,0.2239
425.88,34.09,0.7593,1202.0,0.2,3137.7,0.0299
443.72,19.52,0.441,1890.6,0.5,3159.5,0.3633
373.38,17.36,-0.0016,1937.9,0.35,2224.0,0.2399
347.0,36.14,-0.054,2408.8,0.45,1798.7,0.2442
206.03,27.27,0.0801,607.7,0.6,3102.4,0.2286
120.41,36.51,0.0431,1437.3,0.45,2303.3,0.1833
232.63,11.51,0.4466,314.2,0.2,4938.4,0.1213
149.58,38.48,0.5903,1424.8,0.45,1004.1,0.109
118.6,22.88,0.4748,2978.8,0.45,119.5,0.3651
415.02,15.83,-0.0919,2608.7,0.55,4554.0,0.3579
451.47,31.03,0.1301,2425.6,0.5,3186.7,0.1819
310.45,27.11,0.6209,2011.6,0.7,3145.0,0.2491
154.47,17.63,0.4796,2223.8,0.35,4549.0,0.211
163.36,16.62,0.1008,2380.9,0.2,2659.0,0.3615
128.49,32.99,0.3818,2438.8,0.2,4023.1,0.1513
234.17,3.01,0.6542,754.3,0.6,4836.7,0.2698
395.34,0.56,0.4366,1418.9,0.45,2927.0,0.2775
411.21,37.61,0.0083,778.1,0.55,3101.5,0.2483
305.04,25.91,0.5354,1446.4,0.45,3249.7,0.1605
58.34,1.81,-0.0628,2988.2,0.35,495.0,0.6095
226.82,26.82,0.6431,2843.3,0.6,2940.8,0.2091
363.3,35.42,0.5549,2517.7,0.6,4695.9,0.1961
108.63,17.79,0.1361,1151.8,0.2,2726.9,0.2969
488.92,14.35,0.2981,650.4,0.35,4745.6,0.2324
106.05,25.58,0.8711,246.7,0.2,1225.4,0.0458
62.96,22.58,-0.0314,2319.0,0.5,2936.1,0.4692
387.18,31.55,0.496,904.1,0.7,4937.8,0.1349
270.11,31.94,0.0099,2612.7,0.7,84.2,0.3935
161.89,6.97,-0.0476,2251.0,0.35,3730.9,0.3416
238.12,31.12,0.4132,416.3,0.5,4727.6,0.2054
433.49,20.86,0.358,2895.7,0.55,4992.9,0.3117
423.65,17.05,0.008,2166.0,0.8,376.7,0.4327
32.84,11.0,0.5331,1690.2,0.2,1910.7,0.5279
298.7,11.8,0.4056,1347.6,0.35,4265.4,0.2092
360.42,8.6,0.3516,762.6,0.2,4138.8,0.1791
199.37,29.18,0.2125,1006.3,0.45,1877.8,0.2395
33.57,33.27,-0.0068,380.0,0.2,4060.7,0.5099
278.19,23.46,0.4616,1056.0,0.35,2059.9,0.2374
211.47,36.63,-0.0486,934.1,0.45,1764.7,0.1445
288.96,8.51,0.5567,750.3,0.35,1757.1,0.2004
139.28,9.05,0.3291,1726.8,0.55,3048.9,0.3026
328.92,27.74,-0.071,892.5,0.45,4608.5,0.207
71.63,26.29,-0.0304,2248.8,0.55,467.9,0.4338
265.24,15.05,0.3536,556.5,0.45,3610.8,0.2277
