lat,lon,zoom,dominant_class,vegetation_pct,bare_land_pct,water_pct,urban_pct,agriculture_pct,forest_pct
-17.595269,-71.91662,18,urban,0.1823,0.0072,0.2374,0.355,0.1057,0.1124
-22.378374,-18.546937,18,urban,0.0894,0.1415,0.0545,0.6084,0.0168,0.0894
-30.371696,15.206917,18,vegetation,0.5878,0.1604,0.0169,0.2296,0.0027,0.0026
-13.530896,-120.485283,18,urban,0.3909,0.0265,0.0009,0.5333,0.0194,0.029
33.731959,119.321333,18,agriculture,0.0922,0.1069,0.0397,0.1075,0.5767,0.077
-4.66374,-75.529228,18,vegetation,0.3575,0.0642,0.0621,0.0272,0.2903,0.1988
8.216925,-106.369721,18,forest,0.0672,0.0054,0.025,0.2054,0.0999,0.597
-59.470218,-135.932989,18,vegetation,0.5457,0.0532,0.0482,0.1488,0.1436,0.0604
-50.678516,-10.83457,18,vegetation,0.3698,0.2759,0.0072,0.0279,0.2199,0.0994
11.14988,175.51379,18,urban,0.0268,0.2489,0.0711,0.5455,0.0506,0.057
-41.269741,169.24442,18,vegetation,0.4619,0.018,0.2176,0.0353,0.134,0.1332
-37.716045,64.647199,18,agriculture,0.0075,0.0564,0.1887,0.053,0.4232,0.2712
44.629636,-118.890834,18,urban,0.1656,0.0176,0.2436,0.5153,0.0234,0.0345
-52.302678,152.434295,18,vegetation,0.5517,0.0425,0.1432,0.1272,0.1121,0.0233
29.412076,-66.112195,18,agriculture,0.0933,0.0645,0.0751,0.1909,0.4747,0.1015
21.350738,161.688459,18,urban,0.1499,0.1538,0.0304,0.5361,0.1219,0.0078
53.776883,26.440189,18,bare_land,0.042,0.5975,0.1051,0.1815,0.0439,0.03
38.272151,-66.717244,18,vegetation,0.5167,0.036,0.0762,0.0084,0.2972,0.0654
-4.806357,-76.734299,18,forest,0.0177,0.158,0.1396,0.0429,0.1188,0.5231
41.570486,11.540735,18,urban,0.0311,0.0651,0.1353,0.5406,0.0362,0.1916
-28.898774,-63.500065,18,bare_land,0.1462,0.4121,0.1056,0.0332,0.0143,0.2886
15.072625,88.75948,18,agriculture,0.2995,0.057,0.0463,0.0397,0.4819,0.0756
-30.694818,44.520475,18,vegetation,0.3984,0.1906,0.0134,0.068,0.1908,0.1388
45.675762,-58.592387,18,vegetation,0.6486,0.1414,0.0467,0.036,0.1056,0.0216
-59.093249,50.341035,18,bare_land,0.1454,0.6865,0.0862,0.053,0.0274,0.0015
-14.695672,59.433319,18,urban,0.2855,0.0113,0.0239,0.5851,0.0566,0.0376
-14.659967,156.78898,18,urban,0.235,0.2178,0.0828,0.4378,0.0253,0.0013
15.911438,-171.149235,18,urban,0.1271,0.075,0.053,0.5448,0.0415,0.1587
44.431313,-113.248499,18,urban,0.0757,0.0409,0.2598,0.3836,0.2343,0.0056
-38.537628,25.888064,18,vegetation,0.3816,0.4339,0.0572,0.0859,0.0185,0.0229
-43.260249,91.320427,18,agriculture,0.0643,0.0191,0.1815,0.0315,0.6535,0.0501
9.571862,132.314915,18,vegetation,0.669,0.0921,0.021,0.0062,0.1598,0.0519
13.549937,-65.412867,18,urban,0.0174,0.0117,0.2308,0.6607,0.0511,0.0284
-32.130911,-35.158655,18,agriculture,0.1105,0.1391,0.0428,0.2372,0.4211,0.0493
20.128551,133.588269,18,bare_land,0.2062,0.4579,0.036,0.0541,0.1446,0.1012
-6.836539,-26.412362,18,forest,0.0389,0.0233,0.0922,0.1568,0.1098,0.579
2.941086,-117.857131,18,forest,0.0971,0.002,0.0052,0.1035,0.1246,0.6675
-13.607835,66.680107,18,urban,0.0073,0.0541,0.0018,0.6384,0.2778,0.0206
-16.619927,-21.829614,18,urban,0.1276,0.0782,0.0812,0.5593,0.0987,0.055
-34.38379,-104.638614,18,vegetation,0.4208,0.0095,0.0502,0.1647,0.0965,0.2582
-41.076314,-38.112648,18,agriculture,0.0067,0.1838,0.139,0.1145,0.53,0.026
13.039811,5.604003,18,agriculture,0.0304,0.0036,0.0718,0.1452,0.624,0.125
36.84173,-93.76478,18,urban,0.0382,0.0538,0.1815,0.5976,0.0719,0.057
25.599554,68.282503,18,agriculture,0.2183,0.1705,0.1024,0.0069,0.4942,0.0077
2.899381,-49.380072,18,forest,0.0014,0.1561,0.0888,0.0988,0.1978,0.4571
49.654571,127.273159,18,vegetation,0.4033,0.0621,0.1479,0.2457,0.0783,0.0626
-59.78006,-67.608454,18,vegetation,0.3779,0.0272,0.2108,0.0199,0.3532,0.0109
19.178922,-158.351692,18,agriculture,0.1002,0.0494,0.0504,0.0156,0.6619,0.1227
13.497981,-59.219835,18,urban,0.2246,0.0341,0.0619,0.6403,0.0064,0.0327
-43.908287,-67.585114,18,agriculture,0.09,0.0402,0.0404,0.0252,0.6875,0.1167
58.410146,134.510537,18,bare_land,0.0269,0.6469,0.0252,0.0712,0.1856,0.0442
49.341025,-81.42999,18,agriculture,0.1314,0.0855,0.0645,0.0396,0.621,0.0579
-58.321701,-152.544756,18,bare_land,0.0065,0.5748,0.0664,0.1244,0.022,0.2059
-57.122614,-92.202162,18,bare_land,0.1316,0.6967,0.0622,0.0335,0.0278,0.0484
-48.685689,14.719779,18,agriculture,0.0261,0.136,0.0511,0.0387,0.6755,0.0726
-5.390206,93.728306,18,forest,0.0957,0.3586,0.0314,0.0296,0.0453,0.4394
23.400036,-74.625554,18,urban,0.0034,0.295,0.0963,0.4122,0.0656,0.1275
5.864908,-51.646351,18,vegetation,0.3666,0.0701,0.1543,0.1471,0.2615,0.0004
-7.14151,-38.708633,18,vegetation,0.3921,0.2031,0.0504,0.0079,0.2342,0.1123
-54.541561,-62.060483,18,bare_land,0.1101,0.517,0.0244,0.2096,0.0993,0.0396
-52.39736,139.464402,18,vegetation,0.4335,0.14,0.067,0.2181,0.1211,0.0203
29.024292,-119.380855,18,agriculture,0.1013,0.0041,0.2413,0.0113,0.5601,0.0818
55.233937,-73.552388,18,bare_land,0.1237,0.5186,0.0655,0.0957,0.002,0.1944
-41.476818,83.283216,18,vegetation,0.6081,0.0075,0.0028,0.0778,0.0729,0.2309
